student_id,subject_id,date,day_of_week,month,semester,previous_rate,consecutive_absences,is_hostel,cgpa,cgpa_prev,cgpa_drop_last_sem,distance,distance_km,weather_score,monday_factor,friday_factor,subject_difficulty,time_slot,is_absent,trend_7d,trend_30d,total_classes,total_attended,club_activities,study_hours_per_day,library_visits_per_month,backlogs,num_backlogs,financial_aid,part_time_job,family_issues,previous_dropout_attempt,mental_health_score,attendance_pct,attendance_pct_sem1,attendance_pct_sem2,consecutive_absences_max,warnings_issued,num_warnings,num_medical_leaves,risk_level,current_percentage,previous_semester_rate,dropped_out
student_001,SUB_01,2026-01-05,0,1,3,85.0,0,0,6.635459777522662,6.387618750033634,-0.24784102748902814,5.58787396773266,5.58787396773266,0.16,1,0,0.6417483102190931,0,0,0.0,0.0,1,1,0,6.946598790163568,11,1,1,0,0,0,0,6.849638589930578,74.0,72.0,76.0,5,2,2,2,high,85.0,73.78907151491738,0
student_001,SUB_02,2026-01-05,0,1,3,85.0,0,0,6.635459777522662,6.387618750033634,-0.24784102748902814,5.58787396773266,5.58787396773266,0.16,1,0,0.5179040139086701,1,1,0.0,0.0,1,0,0,6.946598790163568,11,1,1,0,0,0,0,6.849638589930578,74.0,72.0,76.0,5,2,2,2,high,85.0,73.78907151491738,0
student_001,SUB_03,2026-01-05,0,1,3,85.0,0,0,6.635459777522662,6.387618750033634,-0.24784102748902814,5.58787396773266,5.58787396773266,0.16,1,0,0.6243380573866668,1,1,0.0,0.0,1,0,0,6.946598790163568,11,1,1,0,0,0,0,6.849638589930578,74.0,72.0,76.0,5,2,2,2,high,85.0,73.78907151491738,0
student_001,SUB_04,2026-01-05,0,1,3,85.0,0,0,6.635459777522662,6.387618750033634,-0.24784102748902814,5.58787396773266,5.58787396773266,0.16,1,0,0.6606677008657034,1,0,0.0,0.0,1,1,0,6.946598790163568,11,1,1,0,0,0,0,6.849638589930578,74.0,72.0,76.0,5,2,2,2,high,85.0,73.78907151491738,0
student_001,SUB_05,2026-01-05,0,1,3,85.0,0,0,6.635459777522662,6.387618750033634,-0.24784102748902814,5.58787396773266,5.58787396773266,0.16,1,0,0.2523741077538053,1,0,0.0,0.0,1,1,0,6.946598790163568,11,1,1,0,0,0,0,6.849638589930578,74.0,72.0,76.0,5,2,2,2,high,85.0,73.78907151491738,0
student_002,SUB_01,2026-01-05,0,1,8,85.0,0,0,8.058279379118833,7.8829661886931,-0.175313190425733,8.719326916310017,8.719326916310017,0.16,1,0,0.6417483102190931,0,0,0.0,0.0,1,1,0,7.405719547917508,13,0,0,0,0,0,0,7.533958831836938,82.67,84.0,81.33,4,1,1,1,medium,85.0,81.52513343192147,0
student_002,SUB_02,2026-01-05,0,1,8,85.0,0,0,8.058279379118833,7.8829661886931,-0.175313190425733,8.719326916310017,8.719326916310017,0.16,1,0,0.5179040139086701,2,1,0.0,0.0,1,0,0,7.405719547917508,13,0,0,0,0,0,0,7.533958831836938,82.67,84.0,81.33,4,1,1,1,medium,85.0,81.52513343192147,0
student_002,SUB_03,2026-01-05,0,1,8,85.0,0,0,8.058279379118833,7.8829661886931,-0.175313190425733,8.719326916310017,8.719326916310017,0.16,1,0,0.6243380573866668,1,0,0.0,0.0,1,1,0,7.405719547917508,13,0,0,0,0,0,0,7.533958831836938,82.67,84.0,81.33,4,1,1,1,medium,85.0,81.52513343192147,0
student_002,SUB_04,2026-01-05,0,1,8,85.0,0,0,8.058279379118833,7.8829661886931,-0.175313190425733,8.719326916310017,8.719326916310017,0.16,1,0,0.6606677008657034,0,0,0.0,0.0,1,1,0,7.405719547917508,13,0,0,0,0,0,0,7.533958831836938,82.67,84.0,81.33,4,1,1,1,medium,85.0,81.52513343192147,0
student_002,SUB_05,2026-01-05,0,1,8,85.0,0,0,8.058279379118833,7.8829661886931,-0.175313190425733,8.719326916310017,8.719326916310017,0.16,1,0,0.2523741077538053,1,0,0.0,0.0,1,1,0,7.405719547917508,13,0,0,0,0,0,0,7.533958831836938,82.67,84.0,81.33,4,1,1,1,medium,85.0,81.52513343192147,0
